param_id,part_kind_id,param_code,param_title_en,param_title_fa,param_group_id,ui_order,admin_mode
1,1,w,width,عرض,1,1,system
2,1,d,depth,عمق,1,2,system
3,1,h,height,ارتفاع,1,3,system
4,1,u_f_o,unit_floor_offset,فاصله_یونیت_از_کف,1,4,system
5,1,u_th,unit_thickness,ضخامت_یونیت,2,1,system
6,1,b_th,back_thickness,ضخامت_پشت,2,2,system
7,1,l_fl,left_floor,کف_چپ,3,1,system
8,1,r_fl,right_floor,کف_راست,3,2,system
9,1,p_f_f,push_front_floor,کسر_جلوی_کف,3,3,system
10,1,p_b_f,push_back_floor,کسر_عقب_کف,3,4,system
11,1,p_u_f,push_up_floor,هل_دادن_کف_به_بالا,3,5,system
12,1,l_ro,left_roof,تاق_چپ,4,1,system
13,1,r_ro,right_roof,تاق_راست,4,2,system
14,1,p_f_r,push_front_roof,کسر_جلوی_تاق,4,3,system
15,1,p_b_r,push_back_roof,کسر_عقب_تاق,4,4,system
16,1,p_d_r,push_down_roof,هل_دادن_تاق_به_پایین,4,5,system
17,1,b_l_s,bottom_left_side,بدنه_چپ_پایین,5,1,system
18,1,b_r_s,bottom_right_side,بدنه_راست_پایین,6,1,system
19,1,t_l_s,top_left_side,بدنه_چپ_بالا,5,2,system
20,1,p_f_ls,push_front_left_side,کسر_جلوی_بدنه_چپ,5,3,system
21,1,p_b_ls,push_back_left_side,کسر_عقب_بدنه_چپ,5,4,system
22,1,ls_t_k,left_side_toe_kick,پاسنگ_بدنه_چپ,5,5,system
23,1,t_r_s,top_right_side,بدنه_راست_بالا,6,2,system
24,1,p_f_rs,push_front_right_side,کسر_جلوی_بدنه_راست,6,3,system
25,1,p_b_rs,push_back_right_side,کسر_عقب_بدنه_راست,6,4,system
26,1,rs_t_k,right_side_toe_kick,پاسنگ_بدنه_راست,6,5,system
27,1,b_th_ca,back_thickness_calculation,محاسبه_ضخامت_پشت,8,1,system
28,1,pu_b,push_back,هل_دادن_عقب_پشت,8,2,system
29,1,b_l_r,back_left_reducing,کسر_چپ_پشت,8,3,system
30,1,b_r_r,back_right_reducing,کسر_راست_پشت,8,4,system
31,1,b_b_r,back_bottom_reducing,کسر_پایین_پشت,8,5,system
32,1,b_t_r,back_top_reducing,کسر_بالا_پشت,8,6,system
33,1,le_g,left_gap,گپ_چپ,10,1,system
34,1,ri_g,right_gap,گپ_راست,10,2,system
35,1,fr_g,front_gap,گپ_جلو,10,3,system
36,1,ba_g,back_gap,گپ_عقب,10,4,system
37,1,bo_g,bottom_gap,گپ_پایین,10,5,system
38,1,to_g,top_gap,گپ_بالا,10,6,system
39,2,w_st,width_stretcher,عرض_تیرک,12,1,system
40,2,l_to_fr_h_st,left_top_front_horizontal_stretcher,تیرک_افقی_جلو_بالا_چپ,12,2,system
41,2,r_to_fr_h_st,right_top_front_horizontal_stretcher,تیرک_افقی_جلو_بالا_راست,12,3,system
42,2,p_f_to_fr_h_st,push_front_top_front_horizontal_stretcher,هل_دادن_جلوی_تیرک_افقی_جلو_بالا,12,4,system
43,2,p_d_to_fr_h_st,push_down_top_front_horizontal_stretcher,هل_دادن_تیرک_افقی_جلو_بالا_به_پایین,12,5,system
44,2,l_to_ba_h_st,left_top_back_horizontal_stretcher,تیرک_افقی_عقب_بالا_چپ,12,6,system
45,2,r_to_ba_h_st,right_top_back_horizontal_stretcher,تیرک_افقی_عقب_بالا_راست,12,7,system
46,2,p_b_to_ba_h_st,push_back_top_back_horizontal_stretcher,هل_دادن_عقب_تیرک_افقی_عقب_بالا,12,8,system
47,2,p_d_to_ba_h_st,push_down_top_back_horizontal_stretcher,هل_دادن_تیرک_افقی_عقب_بالا_به_پایین,12,9,system
48,2,l_to_v_st,left_top_vertical_stretcher,تیرک_عمودی_پشت_بالا_چپ,12,10,system
49,2,r_to_v_st,right_top_vertical_stretcher,تیرک_عمودی_پشت_بالا_راست,12,11,system
50,2,p_b_to_v_st,push_back_top_vertical_stretcher,هل_دادن_عقب_تیرک_عمودی_پشت_بالا,12,12,system
51,2,p_d_to_v_st,push_down_top_vertical_stretcher,هل_دادن_تیرک_عمودی_پشت_بالا_به_پایین,12,13,system
52,2,l_bo_v_st,left_bottom_vertical_stretcher,تیرک_عمودی_پشت_پایین_چپ,12,14,system
53,2,r_bo_v_st,right_bottom_vertical_stretcher,تیرک_عمودی_پشت_پایین_راست,12,15,system
54,2,p_b_bo_v_st,push_back_bottom_vertical_stretcher,هل_دادن_عقب_تیرک_عمودی_پشت_پایین,12,16,system
55,2,p_u_bo_v_st,push_up_bottom_vertical_stretcher,هل_دادن_تیرک_عمودی_پشت_پایین_به_بالا,12,17,system
56,6,d_th,door_thickness,ضخامت_درب,2,3,system
57,6,f_th,frame_thickness,ضخامت_قاب,2,4,system
58,6,d_th_ca,door_thickness_calculation,محاسبه_ضخامت_درب,7,1,system
59,6,f_th_ca,frame_thickness_calculation,محاسبه_ضخامت_قاب,7,2,system
60,6,pu_d,push_door,هل_دادن_جلو_درب,7,3,system
61,6,d_l_r,door_left_reducing,کسر_چپ_درب,7,4,system
62,6,d_r_r,door_right_reducing,کسر_راست_درب,7,5,system
63,6,d_b_r,door_bottom_reducing,کسر_پایین_درب,7,6,system
64,6,d_t_r,door_top_reducing,کسر_بالا_درب,7,7,system
65,7,p_th,panel_thickness,ضخامت_نما,2,5,system
66,7,le_p,left_panel,نما_چپ,9,1,system
67,7,ri_p,right_panel,نما_راست,9,2,system
68,7,fr_p,front_panel,نما_جلو,9,3,system
69,7,ba_p,back_panel,نما_پشت,9,4,system
70,7,bo_p,bottom_panel,نما_پایین,9,5,system
71,7,to_p,top_panel,نما_بالا,9,6,system
72,10,c_th,counter_thickness,ضخامت_صفحه,2,6,system
73,10,c_g,counter_offset,فاصله_صفحه,11,1,system
74,10,le_n,left_nosecounter,دماغه_صفحه_چپ,11,2,system
75,10,ri_n,right_nosecounter,دماغه_صفحه_راست,11,3,system
76,10,fr_n,front_nosecounter,دماغه_صفحه_جلو,11,4,system
77,10,ba_n,back_nosecounter,دماغه_صفحه_عقب,11,5,system
78,3,le_m_s,left_moving_shelve,طبقه_متحرک_چپ,13,1,system
79,3,ri_m_s,right_moving_shelve,طبقه_متحرک_راست,13,2,system
80,3,p_l_m_s,push_left_moving_shelve,کسر_چپ_طبقه_متحرک,13,3,system
81,3,p_r_m_s,push_right_moving_shelve,کسر_راست_طبقه_متحرک,13,4,system
82,3,p_f_m_s,push_front_moving_shelve,کسر_جلو_طبقه_متحرک,13,5,system
83,3,p_b_m_s,push_back_moving_shelve,کسر_عقب_طبقه_متحرک,13,6,system
84,3,m_s_cz,moving_shelve_cz,مرکز_محور_z_طبقه_متحرک,14,7,system
