fo_id,param_formula,formula,admin_mode
1,f1,((l_fl)*(u_th))+((r_fl)*(u_th))+((le_p)*(p_th))+((ri_p)*(p_th))+(le_g)+(ri_g)+(le_n)+(ri_n),system
2,f2,((d_th_ca)*(d_th))+((f_th_ca)*(f_th))+((b_th_ca)*(b_th))+((fr_p)*(p_th))+((ba_p)*(p_th))+(fr_g)+(ba_g)+(fr_n)+(ba_n)+(p_f_f)+(p_b_f),system
3,f3,((l_fl)*(u_th))+((le_p)*(p_th))+(le_g)+(le_n),system
4,f4,((d_th_ca)*(d_th))+((f_th_ca)*(f_th))+((fr_p)*(p_th))+(fr_g)+(fr_n)+(p_f_f),system
5,f5,((bo_p)*(p_th))+(bo_g)+(u_f_o)+(p_u_f),system
6,f6,((l_ro)*(u_th))+((r_ro)*(u_th))+((le_p)*(p_th))+((ri_p)*(p_th))+(le_g)+(ri_g)+(le_n)+(ri_n),system
7,f7,((d_th_ca)*(d_th))+((f_th_ca)*(f_th))+((b_th_ca)*(b_th))+((fr_p)*(p_th))+((ba_p)*(p_th))+(fr_g)+(ba_g)+(fr_n)+(ba_n)+(p_f_r)+(p_b_r),system
8,f8,((l_ro)*(u_th))+((le_p)*(p_th))+(le_g)+(le_n),system
9,f9,((d_th_ca)*(d_th))+((f_th_ca)*(f_th))+((fr_p)*(p_th))+(fr_g)+(fr_n)+(p_f_r),system
10,f10,(c_th)+((to_p)*(p_th))+(to_g)+(c_g)+(p_d_r),system
11,f11,((ls_t_k)*(u_f_o))+((bo_p)*(p_th))+(bo_g)+((ls_t_k)*(b_l_s)*(u_th))+(c_th)+((to_p)*(p_th))+(to_g)+(c_g)+((t_l_s)*(u_th)),system
12,f12,((d_th_ca)*(d_th))+((f_th_ca)*(f_th))+((b_th_ca)*(b_th))+((fr_p)*(p_th))+((ba_p)*(p_th))+(fr_g)+(ba_g)+(fr_n)+(ba_n)+(p_f_ls)+(p_b_ls),system
13,f13,((le_p)*(p_th))+(le_g)+(le_n),system
14,f14,((d_th_ca)*(d_th))+((f_th_ca)*(f_th))+((fr_p)*(p_th))+(fr_g)+(fr_n)+(p_f_ls),system
15,f15,((bo_p)*(p_th))+(bo_g)+((ls_t_k)*(u_f_o))+((b_l_s)*(u_th)),system
16,f16,((rs_t_k)*(u_f_o))+((bo_p)*(p_th))+(bo_g)+((rs_t_k)*(b_r_s)*(u_th))+(c_th)+((to_p)*(p_th))+(to_g)+(c_g)+((t_r_s)*(u_th)),system
17,f17,((d_th_ca)*(d_th))+((f_th_ca)*(f_th))+((b_th_ca)*(b_th))+((fr_p)*(p_th))+((ba_p)*(p_th))+(fr_g)+(ba_g)+(fr_n)+(ba_n)+(p_f_rs)+(p_b_rs),system
18,f18,((ri_p)*(p_th))+(ri_g)+(ri_n),system
19,f19,((d_th_ca)*(d_th))+((f_th_ca)*(f_th))+((fr_p)*(p_th))+(fr_g)+(fr_n)+(p_f_rs),system
20,f20,((bo_p)*(p_th))+(bo_g)+((rs_t_k)*(u_f_o))+((b_r_s)*(u_th)),system
21,f21,(u_f_o)+((bo_p)*(p_th))+(bo_g)+(c_th)+((to_p)*(p_th))+(to_g)+(c_g)+(b_b_r)+(b_t_r)+(p_d_r),system
22,f22,((le_p)*(p_th))+((ri_p)*(p_th))+(le_g)+(ri_g)+(le_n)+(ri_n)+(b_l_r)+(b_r_r),system
23,f23,((le_p)*(p_th))+(le_g)+(le_n)+(b_l_r),system
24,f24,((b_th_ca)*(b_th))+((ba_p)*(p_th))+(ba_g)+(ba_n)+(pu_b),system
25,f25,(u_f_o)+((bo_p)*(p_th))+(bo_g)+(b_b_r),system
26,f26,((l_to_fr_h_st)*(u_th))+((r_to_fr_h_st)*(u_th))+((le_p)*(p_th))+((ri_p)*(p_th))+(le_g)+(ri_g)+(le_n)+(ri_n),system
27,f27,((l_to_fr_h_st)*(u_th))+((le_p)*(p_th))+(le_g)+(le_n),system
28,f28,((d_th_ca)*(d_th))+((f_th_ca)*(f_th))+((fr_p)*(p_th))+(fr_g)+(fr_n)+(p_f_to_fr_h_st),system
29,f29,(c_th)+((to_p)*(p_th))+(to_g)+(c_g)+(p_d_to_fr_h_st),system
30,f30,((l_to_ba_h_st)*(u_th))+((r_to_ba_h_st)*(u_th))+((le_p)*(p_th))+((ri_p)*(p_th))+(le_g)+(ri_g)+(le_n)+(ri_n),system
31,f31,((l_to_ba_h_st)*(u_th))+((le_p)*(p_th))+(le_g)+(le_n),system
32,f32,((b_th_ca)*(b_th))+((ba_p)*(p_th))+(ba_g)+(ba_n)+(p_b_to_ba_h_st),system
33,f33,(c_th)+((to_p)*(p_th))+(to_g)+(c_g)+(p_d_to_ba_h_st),system
34,f34,((l_to_v_st)*(u_th))+((r_to_v_st)*(u_th))+((le_p)*(p_th))+((ri_p)*(p_th))+(le_g)+(ri_g)+(le_n)+(ri_n),system
35,f35,((l_to_v_st)*(u_th))+((le_p)*(p_th))+(le_g)+(le_n),system
36,f36,((b_th_ca)*(b_th))+((ba_p)*(p_th))+(ba_g)+(ba_n)+(p_b_to_v_st),system
37,f37,(c_th)+((to_p)*(p_th))+(to_g)+(c_g)+(p_d_to_v_st),system
38,f38,((l_bo_v_st)*(u_th))+((r_bo_v_st)*(u_th))+((le_p)*(p_th))+((ri_p)*(p_th))+(le_g)+(ri_g)+(le_n)+(ri_n),system
39,f39,((l_bo_v_st)*(u_th))+((le_p)*(p_th))+(le_g)+(le_n),system
40,f40,((b_th_ca)*(b_th))+((ba_p)*(p_th))+(ba_g)+(ba_n)+(p_b_bo_v_st),system
41,f41,(u_f_o)+((bo_p)*(p_th))+(bo_g)+(p_u_bo_v_st),system
42,f42,(le_m_s*u_th)+(ri_m_s*u_th)+(le_p*p_th)+(ri_p*p_th)+le_g+ri_g+le_n+ri_n+p_l_m_s+p_r_m_s,system
43,f43,(le_m_s*u_th)+(le_p*p_th)+le_g+le_n+p_l_m_s,system
44,f44,((d_th_ca)*(d_th))+((f_th_ca)*(f_th))+((b_th_ca)*(b_th))+((fr_p)*(p_th))+((ba_p)*(p_th))+(fr_g)+(ba_g)+(fr_n)+(ba_n)+(p_f_m_s)+(p_b_m_s),system
45,f45,((d_th_ca)*(d_th))+((f_th_ca)*(f_th))+((fr_p)*(p_th))+(fr_g)+(fr_n)+(p_f_m_s),system
46,46,(le_f_s*u_th)+(ri_f_s*u_th)+(le_p*p_th)+(ri_p*p_th)+le_g+ri_g+le_n+ri_n+p_l_f_s+p_r_f_s,system
47,47,(le_f_s*u_th)+(le_p*p_th)+le_g+le_n+p_l_f_s,system
48,48,((d_th_ca)*(d_th))+((f_th_ca)*(f_th))+((b_th_ca)*(b_th))+((fr_p)*(p_th))+((ba_p)*(p_th))+(fr_g)+(ba_g)+(fr_n)+(ba_n)+(p_f_f_s)+(p_b_f_s),system
49,49,((d_th_ca)*(d_th))+((f_th_ca)*(f_th))+((fr_p)*(p_th))+(fr_g)+(fr_n)+(p_f_f_s),system
